,Instance_ID,Hardship,Justify,Oct_7_Attack,Conflict_Year,Date,Source,Article_ID,Entity,Side,Civilian_Status,Location,Phrases
0,IG_Hard_1 ID_Past Conflicts_AJE_1,Casualties,"Tawfiq Jabber was specifically mentioned as being among those killed in the Israeli airstrike on a police graduation ceremony, which is a clear case of casualties and the most severe hardship in his story.",No,2008,27 December 2008,AJE,ID_Past Conflicts_AJE_1,Tawfiq Jabber,Palestine,Government,Gaza,"{'Among those killed was Tawfiq Jabber, the Gaza chief of police.'}"
1,IG_Hard_2 ID_Past Conflicts_AJE_101,Other Hardship,"Shahar Peer experienced emotional distress due to her brother being called up as a military reservist and the protests against her participation, but no more severe hardship such as casualties or imprisonment is mentioned in her story.",No,2008,08 January 2009,AJE,ID_Past Conflicts_AJE_101,Shahar Peer,Israel,Civilian,Other,"{'Two days ago, I was crying a bit, actually more than a bit, so it was a hard time for me, she said.', ""Israeli tennis player Shahar Peer has rejected calls for her withdrawal from the ASB Classic tennis tournament over Israel's invasion of Gaza, saying she can take no responsibility for her nation's military action.""}"
2,IG_Hard_3 ID_Past Conflicts_AJE_102,Casualties,"Heba's story references the attack on the UN school where 43 Palestinians were killed and around 100 wounded, as well as the broader context of 683 Palestinians killed and thousands wounded since the war began. These casualties are the most severe hardship mentioned in her narrative.",No,2008,08 January 2009,AJE,ID_Past Conflicts_AJE_102,Heba,Palestine,Civilian,Gaza,"{'Heba, a Gaza resident and mother of two, told Al Jazeera there was no place left in Gaza that can be considered safe.'}"
3,IG_Hard_4 ID_Past Conflicts_AJE_103,Casualties,"The story of 'a Palestinian' is that he was shot dead by Israeli security forces in a confrontation near Jerusalem, which is a case of casualties and is the most severe hardship mentioned in his narrative.",No,2008,08 January 2009,AJE,ID_Past Conflicts_AJE_103,a Palestinian,Palestine,Civilian,West Bank,{'Israeli security forces in the occupied West Bank shot dead a Palestinian in a confrontation at a Jewish settlement near Jerusalem'}
4,IG_Hard_5 ID_Past Conflicts_AJE_109,Casualties,"The story of the Palestinian UN worker includes their killing by Israeli tank shelling, which is the most severe hardship mentioned.",No,2008,09 January 2009,AJE,ID_Past Conflicts_AJE_109,a Palestinian UN worker,Palestine,Civilian,Gaza,{'killing a Palestinian UN worker'}
5,IG_Hard_6 ID_Past Conflicts_AJE_11,Imprisonment and Detention,"Ahmed Baccar describes police harassment and arrests of youths 'for nothing', indicating experiences of detention and imprisonment as the most severe hardship in his story.",No,2008,27 December 2008,AJE,ID_Past Conflicts_AJE_11,Ahmed Baccar,Palestine,Civilian,Other,"{'The police ""think they can appease us by joking with us, but they hassle us all the time, they arrest us for nothing and then they\'re surprised that we fight back"", said Ahmed Baccar, a 20-year-old unemployed Palestinian.'}"
6,IG_Hard_7 ID_Past Conflicts_AJE_11,Casualties,"Rached El Ali's story includes the claim that police hit 11- and 12-year-old kids and set dogs on youths, which constitutes physical harm and injury, qualifying as casualties—the most severe hardship mentioned in his narrative.",No,2008,27 December 2008,AJE,ID_Past Conflicts_AJE_11,Rached El Ali,Palestine,Civilian,Other,"{'His friend Rached El Ali, an 18-year-old Palestinian, said: ""And they hit 11- and 12-year-old kids, set their dogs on us like they did yesterday, and then you want us to like them.""'}"
7,IG_Hard_8 ID_Past Conflicts_AJE_111,Casualties,"The story of the Palestinian UN worker includes their death due to Israeli tank shelling of a UN convoy, which is the most severe hardship mentioned.",No,2008,09 January 2009,AJE,ID_Past Conflicts_AJE_111,Palestinian UN worker,Palestine,Civilian,Gaza,"{'Israeli tanks shelled a UN convoy earlier in the day, killing a Palestinian UN worker'}"
8,IG_Hard_9 ID_Past Conflicts_AJE_116,Casualties,"Ibrahim Samouni's story includes the killing of his mother and many others in the shelling incident, which is the most severe hardship described.",No,2008,10 January 2009,AJE,ID_Past Conflicts_AJE_116,Ibrahim Samouni,Palestine,Civilian,Gaza,"{'Ibrahim Samouni, a 13-year-old boy who was wounded in the leg and chest, told the Reuters news agency that he kept his three younger brothers alive and tried to help the injured adults lying among the dead after his mother was killed in the incident.'}"
9,IG_Hard_10 ID_Past Conflicts_AJE_116,Casualties,"Meysa Fawzi al Samuni's story includes the deaths of many civilians, including children and adults, as a result of the shelling of the house where she and others were forced to stay. This represents the most severe hardship: casualties.",No,2008,10 January 2009,AJE,ID_Past Conflicts_AJE_116,Meysa Fawzi al Samuni,Palestine,Civilian,Gaza,"{'Meysa Fawzi al Samuni, a 19-year-old resident, as saying that soldiers forced her and dozens of others to move into the warehouse-like home of another resident before the attack.'}"
10,IG_Hard_11 ID_Past Conflicts_AJE_116,Casualties,"The story of 'One man' is directly connected to the incident where approximately 30 Palestinians were killed in the shelling, with many others wounded and left without aid for days. The presence of multiple deaths, including children and adults, makes 'Casualties' the most severe hardship in this narrative.",No,2008,10 January 2009,AJE,ID_Past Conflicts_AJE_116,One man,Palestine,Civilian,Gaza,"{'One man was also found alive, too weak to stand up.'}"
11,IG_Hard_12 ID_Past Conflicts_AJE_12,Imprisonment and Detention,"Ahmed Baccar describes being hassled and arrested by the police for no reason, indicating experiences of detention and harassment.",No,2008,28 December 2008,AJE,ID_Past Conflicts_AJE_12,Ahmed Baccar,Palestine,Civilian,Other,"{'The police ""think they can appease us by joking with us, but they hassle us all the time, they arrest us for nothing and then they\'re surprised that we fight back"", said Ahmed Baccar, a 20-year-old unemployed Palestinian.'}"
12,IG_Hard_13 ID_Past Conflicts_AJE_12,Vulnerable and Affected Groups,"Rached El Ali describes children (11- and 12-year-olds) being attacked and dogs being set on them, indicating that children are a vulnerable group facing violence and abuse.",No,2008,28 December 2008,AJE,ID_Past Conflicts_AJE_12,Rached El Ali,Palestine,Civilian,Other,"{'His friend Rached El Ali, an 18-year-old Palestinian, said: ""And they hit 11- and 12-year-old kids, set their dogs on us like they did yesterday, and then you want us to like them.""'}"
13,IG_Hard_14 ID_Past Conflicts_AJE_121,Missing,"The most severe hardship in the protester's story is her inability to contact her family in Gaza for five days, not knowing if they are alive or not, which constitutes a 'Missing' hardship.",No,2008,11 January 2009,AJE,ID_Past Conflicts_AJE_121,one of the protesters,Palestine,Civilian,Other,"{""One of the protesters told Al Jazeera that she had not been able to contact her family in the Gaza Strip for five days. I don't what has happened to them, are they alive, are they not alive? she said.""}"
14,IG_Hard_15 ID_Past Conflicts_AJE_126,Casualties,"Amir Mansi was reported killed by the Israeli military, which is the most severe hardship mentioned in his story.",No,2008,11 January 2009,AJE,ID_Past Conflicts_AJE_126,Amir Mansi,Palestine,Military,Gaza,"{'Amir Mansi was the ""leading Hamas authority with regard to the long-range Grad missile launching programme"" and commanded a cell in Gaza City that had fired dozens of rockets on southern Israel, the military said in a statement.'}"
15,IG_Hard_16 ID_Past Conflicts_AJE_126,Casualties,"Umm Mohammed's story describes an Israeli tank shell attack that killed eight members of her family and wounded several others, making casualties the most severe hardship.",No,2008,11 January 2009,AJE,ID_Past Conflicts_AJE_126,Umm Mohammed,Palestine,Civilian,Gaza,"{'Umm Mohammed, one of the survivors of the attack, said. ""We fled towards another house and the tanks started firing. Several of us were hit.""'}"
16,IG_Hard_17 ID_Past Conflicts_AJE_127,Casualties,"Ibrahim Samouni's story includes being wounded himself, the death of his mother, and the deaths of many other family members and civilians due to the shelling, making casualties the most severe hardship.",No,2008,11 January 2009,AJE,ID_Past Conflicts_AJE_127,Ibrahim Samouni,Palestine,Civilian,Gaza,"{'Ibrahim Samouni, a 13-year-old boy who was wounded in the leg and chest'}"
17,IG_Hard_18 ID_Past Conflicts_AJE_127,Casualties,"The story of 'One man' includes the deaths of many people in the shelled house, including children and adults, as well as severe injuries and starvation. The most severe hardship is the mass casualties resulting from the shelling.",No,2008,11 January 2009,AJE,ID_Past Conflicts_AJE_127,One man,Palestine,Civilian,Gaza,"{'One man was also found alive, too weak to stand up.'}"
